encoder_key,resolution,seed,method,temperature,nll_uncalibrated,nll,ece_15_uncalibrated,ece_15,confidence_threshold_90pct_validation_coverage,selective_coverage,selective_accuracy,aurc
siglip2_b16_384,384,29,CLIP zero-shot,0.02,2.348580033338351,0.7524928427365811,0.7839846189837093,0.324947961624787,0.3060153116683117,0.8984848484848484,0.9143338954468803,0.048430636081381775
siglip2_b16_384,384,29,Full kNN,1.0,0.35758902917307667,0.35758902917307667,0.011950978386985587,0.011950978386985587,0.8185022265047955,0.9054545454545454,0.9886211512717537,0.010821963554657778
siglip2_b16_384,384,29,Linear probe,1.0,0.11041394655416507,0.11041394655416507,0.011819357118448323,0.011819357118448323,0.8720905016784811,0.896969696969697,0.9949324324324325,0.0019480554311093043
siglip2_b16_384,384,29,Random memory fused,0.5,0.6961768427440698,0.2806133187233343,0.3790799387056476,0.0389596227270146,0.7208481065600739,0.8981818181818182,0.9659244264507423,0.011341701923382309
siglip2_b16_384,384,29,Centroid fused,0.15,1.416974793267616,0.3261543507055099,0.6342360834663398,0.030246640536126954,0.7043591668604874,0.9015151515151515,0.9408403361344538,0.017738389590584318
siglip2_b16_384,384,29,KMeans medoids fused,0.2,1.04741078833114,0.20976453215765464,0.5792432981758128,0.030531032815821847,0.9558038882778882,0.8975757575757576,0.9814314652261985,0.0072909182872123186
siglip2_b16_384,384,29,Facility selection (no reliability) fused,0.5,0.39431179189547877,0.17513381432606873,0.22356130416788808,0.012488406890763302,0.8085855057403802,0.9081818181818182,0.9813146479813146,0.005423558609831421
siglip2_b16_384,384,29,EvidenceMem v2 selection fused,0.2,1.0612756884269372,0.2288662295016626,0.5767424249266366,0.03287133775658563,0.941296840976327,0.9024242424242425,0.9758226997985225,0.007110966106149351
siglip2_b16_384,384,29,EvidenceMem v4 global fusion,0.5,0.6678883897454384,0.21013759574531857,0.4022066119136862,0.0499339042074325,0.7424413310937974,0.9042424242424243,0.9812332439678284,0.0055873503367896
siglip2_b16_384,384,29,EvidenceMem v4 class-conditional visual,0.2,0.6482533812686281,0.18409122664670002,0.37265801532840476,0.020414824903387613,0.9060986622130023,0.9045454545454545,0.9822445561139028,0.004904050652574477
siglip2_b16_384,384,29,EvidenceMem v4 fixed fusion,0.2,0.6482533812686281,0.18409122664670002,0.37265801532840476,0.020414824903387613,0.9060986622130023,0.9045454545454545,0.9822445561139028,0.004904050652574477
siglip2_b16_384,384,29,EvidenceMem v4 continuous fusion,0.2,0.6482533812686281,0.18409122664670002,0.37265801532840476,0.020414824903387613,0.9060986622130023,0.9045454545454545,0.9822445561139028,0.004904050652574477
siglip2_b16_384,384,29,Tip-Adapter (matched cache),1.0,0.30883477902655554,0.30883477902655554,0.04263872050993946,0.04263872050993946,0.8264731933481773,0.896969696969697,0.956081081081081,0.013340445720758862
siglip2_b16_384,384,43,CLIP zero-shot,0.02,2.348580033338351,0.7524928427365811,0.7839846189837093,0.324947961624787,0.3060153116683117,0.8984848484848484,0.9143338954468803,0.048430636081381775
siglip2_b16_384,384,43,Full kNN,1.0,0.35758902917307667,0.35758902917307667,0.011950978386985587,0.011950978386985587,0.8185022265047955,0.9054545454545454,0.9886211512717537,0.010821963554657778
siglip2_b16_384,384,43,Linear probe,1.0,0.11041394655416507,0.11041394655416507,0.011819357118448323,0.011819357118448323,0.8720905016784811,0.896969696969697,0.9949324324324325,0.0019480554311093043
siglip2_b16_384,384,43,Random memory fused,0.2,1.0901202983650213,0.24277943660831125,0.5764307965913068,0.03012714594346703,0.8832959328854498,0.9024242424242425,0.9697783747481531,0.008969459262564414
